,Código,Código de Especie,Especie,Nombre común,Altura (m),Circunferencia (m),DAP (m),D. de copa N-S (m),D. de copa E-O (m),Fecha,Latitud,Longitud,Dirección,Observaciones,ID Foto Tronco,ID Foto Hojas,ID Foto inflorescencia,ID Foto fruto,ID Foto copa,Sector,Tronco ID,Hojas ID,Flores ID,Fruto ID,Copa ID
9,A0032,,,,,,,,,18/09/2021,"10 ° 29 ' 21.6885119999992 "" N","66 ° 50 ' 47.5699559999896 "" W",,,A0032_tronco,A0032_hojas,,,A0032_copa,2,1ouMyB6NjZ5pCQfI8ARfGNFEnhX7sJ-Ma,1RI70O-lc4LD_BBRHmeqHPu1dAn-2mdFZ,,,1ZaaVmlfmCGfHAtIB8SedBHC6ua-PKFHD
10,A0033,,,,,,,,,18/09/2021,"10 ° 29 ' 21.9443640000014 "" N","66 ° 50 ' 47.4417599999981 "" W",,,A0033_tronco,A0033_hojas,,,A0033_copa,2,1U66OrUmNfZHTvGvH5toMLXAi2SmRb39W,161ryCBO2BEcDlF-xgyPfvktOakZdeDSW,,,1__bds_IlWFgjGtSFKhEhIvgy9cKdONpX
11,A0034,,,,,,,,,18/09/2021,"10 ° 29 ' 21.7798080000007 "" N","66 ° 50 ' 47.2961399999974 "" W",,,A0034_tronco,A0034_hojas,A0034_flor,,A0034_copa,2,1qoDP2TbsgIzrBPtsptZ8L8txq5ghq-1c,1IXBiSCq2U7VXeU_mzN7rCQSxLn4ejqUt,1faEwIHo_rk9b-dZg8iiEwQAjqAEDzcMo,,1Kar7bq6DTafBHMv7X02Dtx2ednFZhubx
12,A0035,,,,,,,,,18/09/2021,"10 ° 29 ' 21.5774160000029 "" N","66 ° 50 ' 47.3343719999889 "" W",,,A0035_tronco,A0035_hojas,,,A0035_copa,2,1g3n3C8bBMZhOXP6f89uv7w11k9AtO-5X,1T01dAxbyZmq0foWXBNgZ1Ty5vqNoVNI9,,,1ENP3S6Npycul7jJC7JB9i9H9bjqk6IQp
13,A0036,,,,,,,,,18/09/2021,"10 ° 29 ' 21.9513840000003 "" N","66 ° 50 ' 47.0588280000072 "" W",,,A0036_tronco,A0036_hojas,,,A0036_copa,2,1UkKt9Jf2wUYQERwEoOFQZO8Psn6n-Jap,1bAJkurRxe853UqZfYdFOu85YPov9TLPi,,,1fPEGwkCdXJdOTMgeoCSz3fh7A4_F7ZTI
14,A0037,,,,,,,,,18/09/2021,"10 ° 29 ' 21.8263199999994 "" N","66 ° 50 ' 46.9771079999987 "" W",,,A0037_tronco,A0037_hojas,,,A0037_copa,2,1ApDO2pNUrqSjOMv3NeZs7q9ycFl6zGV0,1y3KhXuDSHNdCqj6BbQeZTha1ZP8HboBr,,,1HLZQdZBIOi81kZiSX5TIc9floUnsVI74
15,A0038,,,,,,,,,18/09/2021,"10 ° 29 ' 21.301655999997 "" N","66 ° 50 ' 47.0032799999899 "" W",,,A0038_tronco,A0038_hojas,,,A0038_copa,2,1ivaUzBHuuHvJr8VK20S-iz68dLcvruil,15E24NVlXD5yS3tnjG1uqqWtMYJvP5uFR,,,1ZoUrcSE0z3kjl5ubCZRrh1eMXxdi4xJx
16,A0039,,,,,,,,,18/09/2021,"10 ° 29 ' 22.0001279999983 "" N","66 ° 50 ' 46.7774879999808 "" W",,,A0039_tronco,A0039_hojas,,,A0039_copa,2,1_W8c4lq91YkIzOVABKNu41yFf1R02QZN,1dHwTXRtPO-SqKRynROEVB7KKVDAd6iXL,,,1d_9GGQUUHxg1_iqqcX4gtpz6wRFpkkRk
17,A0040,,,,,,,,,25/09/2021,10 ° 29 ' 21.7661280000007 '' N,66 ° 50 ' 46.9666680000046 '' W,,,,,,,,2,,,,,
18,A0041,,,,,,,,,25/09/2021,10 ° 29 ' 21.567048000002 '' N,66 ° 50 ' 46.8143520000126 '' W,,,,,,,,2,,,,,
19,A0042,,,,,,,,,25/09/2021,10 ° 29 ' 21.8960879999975 '' N,66 ° 50 ' 46.7712600000027 '' W,,,,,,,,2,,,,,
20,A0043,,,,,,,,,25/09/2021,10 ° 29 ' 21.9546959999994 '' N,66 ° 50 ' 46.5485280000166 '' W,,,,,,,,2,,,,,
21,A0044,,,,,,,,,25/09/2021,10 ° 29 ' 21.7038119999989 '' N,66 ° 50 ' 46.6085040000166 '' W,,,,,,,,2,,,,,
